STATION(Palomar Airport),DATE (LST),REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation(in),HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed
72292703177,2020-01-01T21:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,52,56,0,,0,0,87,29.91,CLR:00,29.57,9,54,130,,3
72292703177,2020-01-01T22:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,51,54,0,,,,90,29.92,FEW:02 13,29.57,9,52,130,,3
72292703177,2020-01-01T23:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,50,53,0,,,,89,29.91,CLR:00,29.57,9,51,110,,3
72292703177,2020-01-01T23:59:00,SOD  ,6,,,,,,,,,,,,,,,,56,,,29.63,,4.7,0,1,9,64,48,220,13,0,0,0,210,10,HZ,,,,,,,,,,,,,,,,,,,
72292703177,2020-01-02T00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,49,51,0,,0.03,8,92,29.89,CLR:00,29.55,8,50,0,,0
72292703177,2020-01-02T01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.89,49,50,0,,,,96,29.89,CLR:00,29.54,8,49,100,,3
72292703177,2020-01-02T02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,48,51,0,,,,89,29.9,CLR:00,29.55,8,49,70,,5
72292703177,2020-01-02T03:45:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,47,50,,,,,89,,BKN:07 17,29.55,9,48,0,,0
72292703177,2020-01-02T03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,47,50,0,,0,3,89,29.9,BKN:07 17,29.55,9,48,60,,3
72292703177,2020-01-02T04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,48,51,0,,,,89,29.9,OVC:08 18,29.56,9,49,50,,6
72292703177,2020-01-02T05:50:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,46,50,,,,,88,,SCT:04 17,29.55,9,48,60,,3
72292703177,2020-01-02T05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,47,50,0,,,,89,29.9,FEW:02 17,29.55,9,48,50,,3
72292703177,2020-01-02T06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.93,46,49,0,,-0.02,3,90,29.93,CLR:00,29.58,8,48,80,,6
72292703177,2020-01-02T07:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,47,51,0,,,,86,29.96,CLR:00,29.61,8,49,60,,8
72292703177,2020-01-02T08:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99,49,55,0,,,,80,29.98,CLR:00,29.64,8,52,90,,3
72292703177,2020-01-02T09:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99,50,60,0,,-0.06,1,70,29.98,CLR:00,29.64,10,55,70,,5
72292703177,2020-01-02T10:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,46,64,0,,,,52,29.96,CLR:00,29.61,10,54,70,,6
72292703177,2020-01-02T11:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,51,62,0,,,,67,29.93,CLR:00,29.59,8,56,260,,10
72292703177,2020-01-02T12:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.93,51,62,0,,0.05,6,67,29.93,CLR:00,29.58,10,56,VRB,,7
72292703177,2020-01-02T13:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.93,51,61,0,,,,70,29.93,CLR:00,29.58,9,56,280,,8
72292703177,2020-01-02T14:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,53,60,0,,,,78,29.94,CLR:00,29.6,9,56,VRB,,7
72292703177,2020-01-02T15:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,54,60,0,,-0.02,3,80,29.95,CLR:00,29.6,8,57,0,,0
72292703177,2020-01-02T16:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,54,59,0,,,,83,29.96,CLR:00,29.61,7,56,0,,0
72292703177,2020-01-02T17:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99,53,57,0,,,,87,29.99,CLR:00,29.64,8,55,0,,0
72292703177,2020-01-02T18:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,53,56,0,,-0.06,3,90,30.01,CLR:00,29.66,7,54,0,,0
72292703177,2020-01-02T19:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03,52,55,0,,,,90,30.03,CLR:00,29.67,7,53,20,,3
72292703177,2020-01-02T20:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,50,55,0,,,,83,30.04,CLR:00,29.7,8,52,90,,5
72292703177,2020-01-02T21:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,50,55,0,,-0.05,1,83,30.06,CLR:00,29.7,9,52,0,,0
72292703177,2020-01-02T22:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,49,54,0,,,,83,30.07,CLR:00,29.72,9,51,0,,0
72292703177,2020-01-02T23:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,48,53,0,,,,83,30.09,CLR:00,29.73,10,50,60,,3
72292703177,2020-01-02T23:59:00,SOD  ,6,,,,,,,,,,,,,,,,58,,,29.62,,3.8,0,3,7,66,49,260,15,0,0,0,270,12,,,,,,,,,,,,,,,,,,,,
72292703177,2020-01-03T00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,44,53,0,,-0.03,1,72,30.09,CLR:00,29.73,10,49,100,,3
72292703177,2020-01-03T01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,41,52,0,,,,66,30.1,CLR:00,29.75,10,47,0,,0
72292703177,2020-01-03T02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,41,51,0,,,,69,30.11,CLR:00,29.75,10,46,0,,0
72292703177,2020-01-03T03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,40,51,0,,-0.02,1,66,30.11,CLR:00,29.75,10,46,80,,6
72292703177,2020-01-03T04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.12,38,53,0,,,,57,30.12,CLR:00,29.77,10,46,60,,5
72292703177,2020-01-03T05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.14,37,54,0,,,,53,30.14,CLR:00,29.78,10,46,80,,6
72292703177,2020-01-03T06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.16,37,52,0,,-0.05,3,57,30.16,CLR:00,29.8,10,45,70,,5
72292703177,2020-01-03T07:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.19,39,55,0,,,,55,30.19,CLR:00,29.83,10,47,0,,0
72292703177,2020-01-03T08:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23,40,60,0,,,,47,30.22,CLR:00,29.87,10,50,0,,0
72292703177,2020-01-03T09:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.24,38,64,0,,-0.08,1,38,30.24,CLR:00,29.88,10,51,VRB,,3
72292703177,2020-01-03T10:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23,39,67,0,,,,36,30.22,CLR:00,29.87,10,53,0,,0
72292703177,2020-01-03T11:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21,37,68,0,,,,32,30.2,CLR:00,29.85,10,53,VRB,,6
72292703177,2020-01-03T12:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,38,67,0,,0.04,6,35,30.2,CLR:00,29.84,10,52,250,,7
72292703177,2020-01-03T13:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,37,68,0,,,,32,30.19,CLR:00,29.84,10,53,240,,5
72292703177,2020-01-03T14:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.22,45,66,0,,,,47,30.21,CLR:00,29.86,10,55,240,,9
72292703177,2020-01-03T15:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23,47,66,0,,-0.02,3,50,30.22,CLR:00,29.87,10,56,0,,0
72292703177,2020-01-03T16:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23,48,63,0,,,,58,30.23,CLR:00,29.87,10,55,0,,0
72292703177,2020-01-03T17:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.24,49,60,0,,,,67,30.24,CLR:00,29.88,10,54,0,,0
72292703177,2020-01-03T18:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,49,58,0,,-0.03,3,72,30.25,CLR:00,29.9,10,53,0,,0
72292703177,2020-01-03T19:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,44,57,0,,,,62,30.27,CLR:00,29.91,10,50,0,,0
72292703177,2020-01-03T20:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,40,56,0,,,,55,30.28,CLR:00,29.92,10,48,0,,0
72292703177,2020-01-03T21:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,40,55,0,,-0.04,3,57,30.29,CLR:00,29.94,10,48,0,,0
72292703177,2020-01-03T22:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,40,52,0,,,,64,30.29,CLR:00,29.94,10,46,80,,3
72292703177,2020-01-03T23:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29,39,51,0,,,,64,30.29,CLR:00,29.93,10,45,70,,3
72292703177,2020-01-03T23:59:00,SOD  ,6,,,,,,,,,,,,,,,,59,,,29.86,,2.5,0,3.9,6,69,49,60,11,0,0,0,250,9,,,,,,,,,,,,,,,,,,,,
72292703177,2020-01-04T00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29,39,51,0,,0.01,8,64,30.28,CLR:00,29.93,10,45,90,,3
72292703177,2020-01-04T01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29,39,51,0,,,,64,30.28,CLR:00,29.93,10,45,0,,0
72292703177,2020-01-04T02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29,39,49,0,,,,69,30.28,CLR:00,29.93,10,44,0,,0
72292703177,2020-01-04T03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29,40,48,0,,0,5,74,30.28,CLR:00,29.93,10,44,0,,0
72292703177,2020-01-04T04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29,38,48,0,,,,68,30.29,CLR:00,29.93,10,43,90,,3
72292703177,2020-01-04T05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,38,47,0,,,,71,30.3,CLR:00,29.94,10,43,70,,3
72292703177,2020-01-04T06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.31,39,47,0,,-0.02,1,74,30.3,CLR:00,29.95,10,43,0,,0
72292703177,2020-01-04T07:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.33,40,51,0,,,,66,30.33,CLR:00,29.97,10,46,0,,0
72292703177,2020-01-04T08:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.36,41,57,0,,,,55,30.35,CLR:00,30,10,49,0,,0
72292703177,2020-01-04T09:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.36,41,60,0,,-0.06,1,50,30.36,CLR:00,30,10,51,0,,0
72292703177,2020-01-04T10:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.33,41,65,0,,,,42,30.33,CLR:00,29.97,10,53,0,,0
72292703177,2020-01-04T11:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,46,65,0,,,,51,30.29,CLR:00,29.94,10,55,270,,7
72292703177,2020-01-04T12:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,51,62,0,,0.08,6,67,30.27,CLR:00,29.92,10,56,290,,7
72292703177,2020-01-04T13:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,53,62,0,,,,73,30.25,CLR:00,29.9,10,57,260,,7
72292703177,2020-01-04T14:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25,54,63,0,,,,73,30.24,CLR:00,29.89,9,58,250,,5
72292703177,2020-01-04T15:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,56,61,0,,0.02,5,84,30.26,CLR:00,29.9,8,58,260,,6
72292703177,2020-01-04T16:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,56,59,0,BR:1 ||,,,90,30.25,CLR:00,29.9,4,57,VRB,,3
72292703177,2020-01-04T17:33:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,56,58,,BR:1 ||,,,93,,SCT:04 6,29.9,4,57,0,,0
72292703177,2020-01-04T17:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,56,57,0,BR:1 ||,,,96,30.26,SCT:04 6,29.9,4,56,0,,0
72292703177,2020-01-04T18:07:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,56,57,,BR:1 ||,,,96,,BKN:07 6,29.9,4,56,0,,0
72292703177,2020-01-04T18:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,56,57,0,BR:1 ||,-0.01,3,96,30.27,BKN:07 6,29.91,5,56,0,,0
72292703177,2020-01-04T19:07:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,56,57,,BR:1 ||,,,96,,SCT:04 6,29.91,5,56,0,,0
72292703177,2020-01-04T19:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,54,55,0,BR:1 ||,,,96,30.27,CLR:00,29.91,3,54,100,,3
72292703177,2020-01-04T20:40:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,53,54,,BR:1 ||,,,97,,CLR:00,29.92,2.5,53,0,,0
72292703177,2020-01-04T20:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,53,53,0,BR:1 ||,,,100,30.27,CLR:00,29.92,2.5,53,120,,3
72292703177,2020-01-04T21:01:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,53,54,,BR:1 ||,,,97,,CLR:00,29.92,3,53,0,,0
72292703177,2020-01-04T21:09:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,53,53,,BR:1 ||,,,100,,CLR:00,29.92,2.5,53,110,,3
72292703177,2020-01-04T21:50:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,52,54,,BR:1 ||,,,94,,CLR:00,29.92,3,53,0,,0
72292703177,2020-01-04T21:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,52,53,0,BR:1 ||,-0.01,1,96,30.28,CLR:00,29.92,3,52,0,,0
72292703177,2020-01-04T22:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,50,52,0,BR:1 ||,,,93,30.28,CLR:00,29.92,4,51,0,,0
72292703177,2020-01-04T23:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,49,51,0,BR:1 ||,,,92,30.26,CLR:00,29.91,3,50,0,,0
72292703177,2020-01-04T23:59:00,SOD  ,6,,,,,,,,,,,,,,,,57,,,29.93,,2.2,0,1.9,8,67,47,280,13,0,0,0,290,9,BR,,,,,,,,,,,,,,,,,,,
72292703177,2020-01-05T00:11:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,49,50,,BR:1 ||,,,96,,CLR:00,29.91,2.5,49,0,,0
72292703177,2020-01-05T00:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,49,50,0,BR:1 ||,0.02,8,96,30.26,CLR:00,29.9,2.5,49,0,,0
72292703177,2020-01-05T01:04:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,48,50,,BR:1 ||,,,93,,CLR:00,29.9,3,49,0,,0
72292703177,2020-01-05T01:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25,47,49,0,BR:1 ||,,,93,30.25,CLR:00,29.89,5,48,70,,3
72292703177,2020-01-05T02:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25,46,49,0,BR:1 ||,,,90,30.24,CLR:00,29.89,6,48,140,,3
72292703177,2020-01-05T03:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.24,45,48,0,,0.02,8,89,30.24,CLR:00,29.88,7,47,0,,0
72292703177,2020-01-05T04:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25,44,46,0,BR:1 ||,,,93,30.24,CLR:00,29.89,5,45,0,,0
72292703177,2020-01-05T05:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26,44,46,0,,,,93,30.26,CLR:00,29.9,7,45,0,,0
72292703177,2020-01-05T06:53:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,43,46,0,,-0.04,3,89,30.28,CLR:00,29.92,8,45,80,,5
